rank,min_ov,max_ov,n_ov1,n_ov2,n_ov3,n_ov4,var_ov,sigma_min,sigma_2nd,d_min,d_max,d_mean,gram_eig_min,fiedler,fiedler_bin,lap_eig3,null_dim,null_min_weight,group
10,1,4,7,23,13,2,0.572840,0.271538,0.536896,2,8,4.6667,0.025162,17.852619,10.000000,19.231094,0,None,FR
10,1,3,6,23,16,0,0.439506,0.222194,0.505658,2,6,4.4444,0.012322,18.576844,10.000000,20.021790,0,None,FR
10,1,4,4,28,12,1,0.395062,0.414214,1.000000,2,6,4.6667,0.069787,19.171573,10.000000,20.000000,0,None,FR
10,1,4,5,28,9,3,0.528395,0.312553,0.371474,2,6,4.2222,0.034996,17.821807,10.000000,19.304870,0,None,FR
10,1,4,8,22,12,3,0.661728,0.264946,0.705573,2,8,4.5556,0.060583,16.723764,10.000000,19.488570,0,None,FR
10,1,4,7,24,11,3,0.617284,0.314477,0.485520,2,8,4.5556,0.023802,17.031264,10.000000,19.552930,0,None,FR
10,1,3,9,17,19,0,0.572840,0.247766,0.608650,2,8,4.6667,0.016198,18.364147,10.000000,18.859033,0,None,FR
10,1,4,9,20,13,3,0.706173,0.398074,0.608272,2,8,4.6667,0.058541,17.462943,10.000000,18.411726,0,None,FR
10,1,4,7,23,13,2,0.572840,0.230793,0.635939,2,8,4.3333,0.020762,18.108080,10.000000,19.056112,0,None,FR
10,1,4,6,25,12,2,0.528395,0.259542,0.524287,2,8,4.4444,0.033135,17.996973,10.000000,19.093280,0,None,FR
10,1,4,8,22,12,3,0.661728,0.434301,0.483761,2,8,4.5556,0.076219,17.147982,10.000000,19.429323,0,None,FR
10,1,4,8,23,10,4,0.706173,0.343909,0.643654,2,8,4.5556,0.032177,17.375003,10.000000,18.385939,0,None,FR
10,1,4,6,24,14,1,0.483951,0.179493,0.640139,2,6,4.3333,0.014741,18.395610,10.000000,19.266352,0,None,FR
10,1,3,8,19,18,0,0.528395,0.247220,0.529222,2,8,4.6667,0.054664,18.059511,10.000000,19.343649,0,None,FR
10,1,4,4,28,12,1,0.395062,0.185174,0.616554,2,8,4.5556,0.046734,19.264330,10.000000,20.000000,0,None,FR
10,1,4,8,20,16,1,0.572840,0.290104,0.578098,2,8,4.6667,0.040362,18.046994,10.000000,18.877514,0,None,FR
10,1,4,10,17,16,2,0.706173,0.376637,0.626351,2,6,4.2222,0.091746,17.093943,10.000000,18.911408,0,None,FR
10,1,4,10,16,18,1,0.661728,0.385872,0.538588,2,8,4.5556,0.100547,17.722089,10.000000,18.982996,0,None,FR
10,1,4,8,21,14,2,0.617284,0.336467,0.448205,2,8,4.6667,0.047515,17.395800,10.000000,19.224744,0,None,FR
10,1,4,9,22,9,5,0.795062,0.361081,0.658982,2,8,4.5556,0.030852,16.014345,10.000000,19.180441,0,None,FR
10,1,4,5,27,11,2,0.483951,0.216981,0.552822,2,8,4.5556,0.040752,18.437146,10.000000,19.580139,0,None,FR
10,1,4,7,24,11,3,0.617284,0.199200,0.731325,2,8,4.5556,0.007491,16.677752,10.000000,19.888768,0,None,FR
10,1,4,6,24,14,1,0.483951,0.187655,0.639109,2,8,4.5556,0.023151,18.691367,10.000000,19.302920,0,None,FR
10,1,4,6,26,10,3,0.572840,0.298238,0.491344,2,8,4.3333,0.073380,17.772007,10.000000,19.450676,0,None,FR
10,1,4,9,19,15,2,0.661728,0.217544,0.659136,2,8,4.3333,0.032967,16.319753,10.000000,20.000000,0,None,FR
10,1,4,7,22,15,1,0.528395,0.245610,0.456148,2,8,4.6667,0.029144,17.637383,10.000000,19.752460,0,None,FR
10,1,4,6,26,10,3,0.572840,0.339318,0.506102,2,8,4.6667,0.052111,17.948044,10.000000,19.305059,0,None,FR
10,1,3,6,23,16,0,0.439506,0.497968,0.742129,2,8,4.5556,0.071151,18.283569,10.000000,19.810902,0,None,FR
10,1,4,7,24,11,3,0.617284,0.286984,0.558883,2,8,4.7778,0.065069,17.794660,10.000000,18.834469,0,None,FR
10,1,4,8,21,14,2,0.617284,0.328260,0.532785,2,8,4.2222,0.034355,17.066827,10.000000,20.259152,0,None,FR
10,1,4,7,25,9,4,0.661728,0.310466,0.565982,2,8,4.6667,0.057945,17.050294,10.000000,19.077736,0,None,FR
10,1,3,8,19,18,0,0.528395,0.266253,0.578153,2,8,4.4444,0.086268,18.954364,10.000000,19.137773,0,None,FR
10,1,4,8,20,16,1,0.572840,0.205927,0.788422,2,8,4.5556,0.017237,17.803530,10.000000,18.889893,0,None,FR
10,1,4,7,22,15,1,0.528395,0.192184,0.661083,2,8,4.7778,0.023907,17.412783,10.000000,20.374105,0,None,FR
10,1,4,7,22,15,1,0.528395,0.275105,0.571219,2,6,4.6667,0.023598,18.427184,10.000000,19.257073,0,None,FR
10,1,4,6,27,8,4,0.617284,0.259985,0.618034,2,8,4.3333,0.031925,17.318714,10.000000,18.773650,0,None,FR
10,1,4,8,20,16,1,0.572840,0.289621,0.630870,2,8,4.6667,0.066175,17.936183,10.000000,19.144461,0,None,FR
10,1,4,4,29,10,2,0.439506,0.156111,0.695361,2,8,4.7778,0.023627,18.032395,10.000000,20.219246,0,None,FR
