id,det_A,rank_F2_A,v2_detA
777,-88864,5,5
778,-33280,4,9
779,-32832,5,6
780,16240,5,4
781,8096,5,5
782,-22368,6,5
783,5056,5,6
784,62928,5,4
785,44516,6,2
786,-35088,5,4
787,-115272,5,3
788,177952,6,5
789,-3104,5,5
790,-486532,6,2
791,-28880,5,4
792,3096,5,3
793,-32328,5,3
794,-44412,6,2
795,35456,5,7
796,-1696,4,5
797,17856,5,6
798,46464,3,7
799,7824,5,4
800,-19968,5,9
801,-20224,4,8
802,77900,6,2
803,-70080,5,6
804,-38912,5,11
805,54288,4,4
806,-56592,5,4
807,17912,6,3
808,-15072,4,5
809,11016,5,3
810,-32644,6,2
811,107296,5,5
812,10728,6,3
813,8640,5,6
814,10200,5,3
815,-9904,5,4
816,-17660,6,2
817,-136640,5,6
818,104064,4,7
819,-42112,5,7
820,-43200,5,6
821,-16224,5,5
822,-7200,5,5
823,-41952,5,5
824,52904,5,3
825,-49344,5,6
826,71552,4,7
827,-18376,6,3
828,-3528,5,3
829,-13728,6,5
830,4896,4,5
831,-57120,5,5
832,2176,5,7
833,191296,5,6
834,-11120,5,4
835,86904,6,3
836,97592,5,3
837,-74592,4,5
838,-63840,5,5
839,12768,5,5
840,127984,5,4
841,-107040,5,5
842,-1460,6,2
843,-54216,6,3
844,-84552,5,3
845,-198464,6,6
846,18304,5,7
847,21840,6,4
848,-48384,4,8
849,36168,6,3
850,-29056,5,7
851,23116,6,2
852,-64284,6,2
853,25084,6,2
854,78840,6,3
855,-43380,6,2
856,22280,5,3
857,21576,6,3
858,129504,6,5
859,-263040,5,7
860,-31840,4,5
861,193668,6,2
862,31536,6,4
863,-96512,5,8
864,55232,4,6
865,-20480,5,12
866,34208,6,5
867,19928,6,3
868,124640,4,5
869,4352,5,8
870,-151488,5,6
871,-27072,6,6
872,35328,5,9
873,4400,5,4
874,-27344,4,4
875,-17216,5,6
876,175056,6,4
877,-2820,6,2
878,32488,5,3
879,62400,4,6
880,87192,6,3
881,19656,6,3
882,-119968,5,5
883,63168,5,6
884,-40504,5,3
885,25280,6,6
886,-23904,5,5
887,-2348,6,2
888,-52000,6,5
889,-106672,6,4
890,72888,6,3
891,-23860,6,2
892,-24624,5,4
893,19152,5,4
894,174784,5,6
895,26016,5,5
896,20864,6,7
897,-8640,6,6
898,12528,5,4
899,-472,6,3
900,26560,5,6
901,-84000,5,5
902,-97920,5,7
903,-18560,5,7
904,-103512,6,3
905,-21208,5,3
906,16256,5,7
907,-114056,6,3
908,23216,5,4
909,-149872,5,4
910,-3204,6,2
911,736,4,5
912,-82176,6,8
913,-57856,5,9
914,26768,6,4
915,157696,5,11
916,-21336,5,3
917,58480,5,4
918,13536,5,5
919,98688,4,7
920,234304,4,6
921,7312,5,4
922,1440,5,5
923,33152,4,7
924,-84624,6,4
925,283912,5,3
926,-46096,5,4
927,-38520,5,3
928,7456,5,5
929,-26912,5,5
930,16316,6,2
931,41704,6,3
932,-2112,5,6
933,-132048,5,4
934,-69440,5,6
935,-143512,6,3
936,-19552,5,5
937,-39376,5,4
938,-106504,5,3
939,44448,6,5
940,9152,4,6
